CHV_FTPROD_MATRICULA;FLG_EMPREGADO;FLG_EVADIU;FLG_BOLSA_ESTUDO_NAO;FLG_BOLSA_ESTUDO_SIM;FLG_0_DISC;FLG_1_DISC;FLG_2_DISC;FLG_3_DISC;FLG_IDAP_ABAIXO;FLG_IDAP_ACIMA;PERC_FALTA_00;PERC_FALTA_10;PERC_FALTA_15;PERC_FALTA_20;PERC_FALTA_25;QTD_BOLETOS_0;QTD_BOLETOS_1;QTD_BOLETOS_2;QTD_BOLETOS_3
10959414011992EVADIDO;1;1;0;1;1,00;0;0;0;1;0;0;1;0;0;0;1;0;0;0
1097913211825MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1097913211825MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1097913211825MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1098471159314MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1099801579298MATRICULADO;0;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1100179211728CONCLUINTE;1;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1100179211728CONCLUINTE;1;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1100179211728CONCLUINTE;1;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1100451139366MATRICULADO;0;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1101391399371MATRICULADO;1;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1101451339371MATRICULADO;0;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1102713211823CONCLUINTE;0;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1102713211823CONCLUINTE;0;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1102713211823CONCLUINTE;0;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
11069510611823TRANCADO;1;1;0;1;0,00;0;1;0;0;1;0;1;0;0;0;1;0;0;0
11069510611823TRANCADO;1;1;0;1;0,00;0;1;0;0;1;0;1;0;0;0;1;0;0;0
11069510611823TRANCADO;1;1;0;1;0,00;0;1;0;0;1;0;1;0;0;0;1;0;0;0
1108557411983MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
110894649364MATRICULADO;1;0;0;1;0,00;1;0;0;0;1;1;0;0;0;0;1;0;0;0
11129416111804MATRICULADO;1;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;0;1;0;0
1113077112043CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1113077112043CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1113077112043CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1114011559373MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1114291579342DESISTENTE;1;1;0;1;0,00;0;0;1;1;0;1;0;0;0;0;1;0;0;0
111578759319MATRICULADO;1;0;0;1;0,00;1;0;0;0;1;1;0;0;0;0;1;0;0;0
1115791569370MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1117651579346MATRICULADO;1;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
111850719325MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
11186516111728MATRICULADO;1;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
11186516111728MATRICULADO;1;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
11186516111728MATRICULADO;1;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
11202015712037CONCLUINTE;1;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1120201579298MATRICULADO;1;0;0;1;0,00;1;0;0;1;0;1;0;0;0;0;1;0;0;0
112031159325DESISTENTE;1;1;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
112206759324MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;0;0;0;1
